Date,Open,High,Low,Close
01/10/97 00:00:00,1.2401,1.2423,1.2325,1.2328
01/13/97 00:00:00,1.2324,1.2368,1.2282,1.2312
01/14/97 00:00:00,1.2316,1.2342,1.2245,1.2266
01/15/97 00:00:00,1.227,1.2326,1.2224,1.2322
01/16/97 00:00:00,1.2328,1.2329,1.2248,1.2269
01/17/97 00:00:00,1.2269,1.2269,1.2078,1.2085
01/20/97 00:00:00,1.2096,1.2114,1.1989,1.2031
01/21/97 00:00:00,1.2031,1.2095,1.2003,1.2004
01/22/97 00:00:00,1.2006,1.2017,1.1882,1.1914
01/23/97 00:00:00,1.1911,1.1967,1.1885,1.1967
01/24/97 00:00:00,1.1963,1.204,1.1933,1.2017
01/27/97 00:00:00,1.2007,1.2007,1.1851,1.1879
01/28/97 00:00:00,1.1874,1.1889,1.1805,1.1878
01/29/97 00:00:00,1.1879,1.1964,1.1828,1.1902
01/30/97 00:00:00,1.1892,1.1986,1.1863,1.1951
01/31/97 00:00:00,1.1952,1.2002,1.1913,1.1945
02/03/97 00:00:00,1.1937,1.195,1.186,1.1925
02/04/97 00:00:00,1.1924,1.1949,1.1876,1.1887
02/05/97 00:00:00,1.19,1.1913,1.1839,1.19
02/06/97 00:00:00,1.1899,1.1904,1.182,1.1842
02/07/97 00:00:00,1.1836,1.1846,1.1674,1.1799
02/10/97 00:00:00,1.1775,1.1942,1.1775,1.1811
02/11/97 00:00:00,1.1816,1.1816,1.1627,1.1658
02/12/97 00:00:00,1.1655,1.1677,1.155,1.1598
02/13/97 00:00:00,1.1592,1.1663,1.1578,1.1609
02/14/97 00:00:00,1.1613,1.1635,1.1562,1.1588
02/17/97 00:00:00,1.1576,1.1587,1.1497,1.1497
02/18/97 00:00:00,1.1495,1.1621,1.1472,1.1609
02/19/97 00:00:00,1.1608,1.1637,1.1497,1.1518
02/20/97 00:00:00,1.1519,1.1622,1.1503,1.162
02/21/97 00:00:00,1.162,1.1634,1.1567,1.1583
02/24/97 00:00:00,1.1578,1.1726,1.1578,1.1682
02/25/97 00:00:00,1.1679,1.1712,1.1648,1.1702
02/26/97 00:00:00,1.17,1.1726,1.1547,1.1579
02/27/97 00:00:00,1.1579,1.1612,1.154,1.1588
02/28/97 00:00:00,1.1589,1.1618,1.1535,1.1574
03/03/97 00:00:00,1.1581,1.1581,1.1509,1.1523
03/04/97 00:00:00,1.152,1.1523,1.14,1.1408
03/05/97 00:00:00,1.141,1.1443,1.1392,1.1422
03/06/97 00:00:00,1.141,1.1448,1.1366,1.1398
03/07/97 00:00:00,1.1398,1.1422,1.1366,1.1406
03/10/97 00:00:00,1.1413,1.1501,1.14,1.1485
03/11/97 00:00:00,1.1495,1.1516,1.145,1.1468
03/12/97 00:00:00,1.1481,1.1562,1.1422,1.1553
03/13/97 00:00:00,1.1554,1.157,1.1456,1.1473
03/14/97 00:00:00,1.1468,1.1563,1.144,1.154
03/17/97 00:00:00,1.1545,1.1605,1.1527,1.157
03/18/97 00:00:00,1.1569,1.1697,1.154,1.169
03/19/97 00:00:00,1.1692,1.1692,1.1609,1.1636
03/20/97 00:00:00,1.164,1.1704,1.1544,1.155
03/21/97 00:00:00,1.1554,1.1636,1.1541,1.1597
03/24/97 00:00:00,1.1605,1.1605,1.155,1.1588
03/25/97 00:00:00,1.1588,1.1611,1.1523,1.1571
03/26/97 00:00:00,1.1576,1.1605,1.1535,1.1585
03/27/97 00:00:00,1.1585,1.1697,1.1577,1.1695
03/28/97 00:00:00,1.1687,1.1701,1.1633,1.164
03/31/97 00:00:00,1.1638,1.1772,1.163,1.1677
04/01/97 00:00:00,1.1678,1.1759,1.1668,1.174
04/02/97 00:00:00,1.1741,1.1741,1.1656,1.1674
04/03/97 00:00:00,1.1671,1.1741,1.1645,1.1713
04/04/97 00:00:00,1.1712,1.1731,1.1596,1.1611
04/07/97 00:00:00,1.1607,1.1607,1.1419,1.1419
04/08/97 00:00:00,1.1426,1.1438,1.1382,1.1402
04/09/97 00:00:00,1.1404,1.143,1.1323,1.1338
04/10/97 00:00:00,1.133,1.1422,1.1325,1.1382
04/11/97 00:00:00,1.1381,1.1393,1.1329,1.1368
04/14/97 00:00:00,1.1367,1.139,1.13,1.1302
04/15/97 00:00:00,1.1302,1.1339,1.126,1.1324
04/16/97 00:00:00,1.1323,1.1349,1.1306,1.1317
04/17/97 00:00:00,1.1314,1.1362,1.1309,1.1349
04/18/97 00:00:00,1.1349,1.143,1.133,1.1428
